"studentheight","maternalheight","paternalheight"
"61","63","66"
"67.5","62","70"
"70.5","61","72"
"66.5","69","69.5"
"65","67",""
"61","60","64"
"70","64","68"
"68.5","64","73"
"69.5","62","72"
"71.5","63","69"
"71","60","67"
"71","67","71"
"64","65","71"
"71.5","66","68"
"70","63","67"
"69","65","73"
"67 inches","61 inches","65 inches"
"65","63.5","73"
"70.5","",""
"74","",""
"183","165","170"
"68.5","62","73.5"
"67","66","73"
"61.5","62","69"
"70","",""
"73","67","68"
"66","63","72.5"
"70.5","65","67"
"69","62.5","73.5"
"75","68","72"
"62","64","68"
"65","",""
"68","67","69"
"6","",""
"70.5","62","66"
"71.5","64","69.5"
"65","64","70"
"67.72","",""
"62.5","60","69"
"72","66","69"
"67","62","69"
"68.5","62","69"
"69.5","64","68.5"
"72","68","70"
"68","66","71"
"66","65","72"
"62.5","63","69.5"
"66","64.5","68"
"75","69","75"
"67","64",""
"68","67","71"
"61.5","62","67.5"
"69.5","61","67.5"
"71.5","59","67"
"66","64","70"
"67","62","67"
"68.5","63","59"
"68","63","67"
"74","62","75.5"
"73","64","69"
"61.5","63","66"
"68.5","57","64"
"5'4","5'2","5'10"
"65","62","71"
"76","69","70"
"5'4","5'3","5'10"
"65.5","63","70"
"59","59","67"
"72","66","70"
"73","","72"
